Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	4371-4379	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppTitle	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.273.474.0_x64__zpdnekdrzrea0\Spotify.exe	Any	Any	TCP	57621-57631	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:WebphoneSession/Resources/ProductName	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\AppUp.IntelTechnologyMDE_20.34.12533.0_x64__8j3eq9eme6ctt\IntelUnison.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:WebphoneSession/Resources/ProductName	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\AppUp.IntelTechnologyMDE_20.34.12533.0_x64__8j3eq9eme6ctt\IntelUnison.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (TCP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	9955	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
App Installer	App Installer	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-O52PDG1\balas	None	Microsoft.DesktopAppInstaller_8wekyb3d8bbwe	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	System	Any	Local subnet	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	System	Any	Any	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device UPnP Events (TCP-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	2869	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)	Connected Devices Platform	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform (TCP-In)	Connected Devices Platform	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform (UDP-In)	Connected Devices Platform	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol (DHCP-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	68	67	Any	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	546	547	Any	Any	Any	Any	None	Any	
Core Networking - Internet Group Management Protocol (IGMP-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	IGMP	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPHTTPS (TCP-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	TCP	IPHTTPS	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPv6 (IPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	IPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Done (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Query (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report v2 (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Packet Too Big (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Parameter Problem (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Advertisement (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	fe80::/64	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Solicitation (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Teredo (UDP-In)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Edge Traversal	Any	Any	Any	Any	Any	None	Any	
Core Networking - Time Exceeded (ICMPv6-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Domain	No	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Private, Public	No	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
